timestep,x,y,z,qx,qy,qz,qw,roll,yaw,pitch,roll_a,pitch_a,yaw_a,acc_x,acc_y,acc_z,c_x,c_y,c_z
1701864694.316445,-4.109450236139045,-3.923134471842144,0.06723326209061517,0.022167162355222682,0.000814857947682274,0.999080217765766,-0.03669702152425923,1.2805036105568935e-06,-0.044367907526790436,-3.068164080512381,6.758843018417832e-05,-0.5480577770397614,4.60357044103162e-06,-2.2032467978702903,0.0009071478202936846,9.36619045942406,-0.0732904103347784,-0.9973053292355465,0.0032551545797998545
1701864694.3587172,-4.108913258505274,-3.9230949746404984,0.06676436976855962,0.026147546487803607,0.0009610397882624832,0.9989839690380315,-0.036693484710704966,1.2391863565479507e-06,-0.052336376463439624,-3.0681640875751865,-5.178532533728084e-06,-0.9905558223450472,3.709972523040894e-07,-1.2177578187153322,0.0017777404610994688,9.969352432342932,-0.07326214832319229,-0.9973053291646213,0.0038390158787091873
1701864694.3988945,-4.10814056923838,-3.9230381383066515,0.0660825361733282,0.03190141562724516,0.0011723647914951886,0.9988167821141745,-0.03668734126179183,1.2014620676860378e-06,-0.06385674959647598,-3.068164098590906,-4.768971123300694e-06,-1.4320992655324571,3.805624668498301e-07,-1.1257770842674149,0.0012021606558866476,9.888563998182283,-0.07321306409389453,-0.9973053291038732,0.004682711500712362
1701864694.4363167,-4.107138540764436,-3.922964431535467,0.06518030097031406,0.03942132831084607,0.001448559920780947,0.9985482579213892,-0.03667747470209684,1.1680624289537273e-06,-0.07891634334873579,-3.068164113232979,-4.28169476942832e-06,-1.8720749733742905,4.024099734168247e-07,-0.9349439951118206,0.0010963325735055059,9.83195070575476,-0.07313424862503919,-0.997305329047266,0.005784663514469343
1701864694.4751441,-4.107609201860347,-3.922998436033928,0.0655954211001413,0.03588493328032588,0.0013187269911286066,0.9986816799858812,-0.03668016607333676,1.4500890655383595e-06,-0.07183375531011331,-3.068168537751915,-6.359398791152564e-06,0.8804314948884969,-0.0005496008387176375,15.094195606347784,-0.01182188028049655,11.255201733698788,-0.07316897489237893,-0.9973056527519106,0.005266507598392012
1701864694.5120628,-4.107830552330189,-3.9230147210871484,0.06579659874748874,0.034192640331387955,0.0012565432314324571,0.9987410523837674,-0.036682349020212016,1.3931474948831267e-06,-0.0684448010300572,-3.0681685287774174,-7.000152707495897e-06,0.4212771450131105,5.139720676472014e-07,-3.553643572903391,0.013622445583066006,6.91682958387515,-0.07318640666716399,-0.9973056527389338,0.005018455351770203
1701864694.5494149,-4.107815097365274,-3.9230135887919895,0.06578162458452358,0.03431039813621966,0.0012608337653722144,0.9987370138879688,-0.03668220233428574,1.323887647824869e-06,-0.06868061145448925,-3.06816852327816,-8.562773311955763e-06,-0.02931330420486198,7.218224635828322e-07,-0.8968017264257149,0.0009012181542742087,10.06740203933951,-0.07318522702741061,-0.9973056526602453,0.005035644632879357
1701864694.5779917,-4.107562610219938,-3.922995020551159,0.06555158615911674,0.03622699173508462,0.0013312005164472303,0.9986693303415878,-0.03667971660326397,1.2700141795943516e-06,-0.0725187729277705,-3.068168523487297,-6.698778527901046e-06,-0.47711772168689026,5.928654209521577e-07,-0.8973645392664125,0.0008001217422298605,10.000695434162214,-0.07316536525438755,-0.9973056525901787,0.005316449837084842
1701864694.5932171,-4.107678651839816,-3.9230035182733256,0.06565369750148006,0.035346404954789835,0.0012988630252682085,0.9987008901496366,-0.036680739168356846,1.2900254506771848e-06,-0.0707552810622262,-3.0681687962254607,6.088882211415593e-08,0.21921756339136908,-3.409740445080927e-05,4.707738224061902,-5.3511670974175536e-05,10.543051420821481,-0.07317435344062538,-0.9973056726578091,0.005187415840407142
1701864694.6021996,-4.107693579942037,-3.923004618903733,0.06566662237090759,0.03523283273714424,0.0012946721862304336,0.9987049032772144,-0.03668088727521007,1.2508988211089073e-06,-0.07052784018186839,-3.068168793276551,-4.8379093175521195e-06,0.028272896453898348,3.2974143068241065e-07,-0.571340977835769,0.0014291849183465286,9.026359635633446,-0.07317553401944837,-0.9973056726652672,0.0051707340530849685
1701864694.6146047,-4.107703960246831,-3.9230053840170185,0.06567515867759044,0.03515382072132746,0.001291758269947433,0.9987076875762025,-0.03668098997381187,1.226975197732917e-06,-0.0703696105730048,-3.068168791464208,-2.9580579424062427e-06,0.019669328268260056,2.0036226647475889e-07,0.9983282943028708,0.0006161439138380775,9.977681479622902,-0.073176352872229,-0.9973056726702263,0.005159131720213657
1701864694.6245203,-4.10771222784664,-3.9230059933623838,0.06568192782651307,0.03509088558696209,0.00128943758417446,0.9987099008656746,-0.03668107158077242,1.2085720487934268e-06,-0.07024357689580561,-3.068168790107694,-2.27582703087929e-06,0.01566709154878078,1.491310401112047e-07,0.8577026237149187,0.000560575627251809,9.798487922555536,-0.07317700371068427,-0.9973056726768056,0.0051498907358228
1701864694.6361575,-4.107718835406218,-3.923006480337835,0.06568733582668008,0.035040584360227195,0.0012875829158143287,0.9987116669935048,-0.03668113669154204,1.19416761172817e-06,-0.070142844049095,-3.068168789054138,-1.7814124792876548e-06,0.012521976393137933,1.1560015183785582e-07,0.840704839016334,0.0005167293714860102,9.793808322095531,-0.07317752302928836,-0.9973056726825027,0.005142505089828581
1701864694.6451025,-4.107724116825606,-3.9230068695579106,0.06569165825717103,0.03500037683934235,0.001286100558178914,0.9987130768968965,-0.03668118866111042,1.1829413897184475e-06,-0.07006232491802317,-3.0681687882406066,-1.388434255166261e-06,0.010009234237824577,8.898420453751681e-08,0.8274740489603862,0.0004761812819888142,9.792540795473498,-0.07317793757556718,-0.9973056726875246,0.005136601743423109
1701864694.656391,-4.1077283384048,-3.923007180652802,0.06569511391909279,0.034968236747425295,0.0012849157703097264,0.9987142027451142,-0.03668123015153715,1.1742536068881051e-06,-0.06999796162203206,-3.0681687876187986,-1.0745589687788145e-06,0.008000922230423684,6.767684450066722e-08,0.8154638486341959,0.00043898997400800845,9.791549230976528,-0.07317826857529157,-0.9973056726920664,0.005131883138530498
1701864694.667441,-4.107731712966576,-3.923007429310598,0.06569787749825677,0.034942544489017235,0.0012839688124199505,0.9987151019849307,-0.036681263281833326,1.167593675381391e-06,-0.06994651072931998,-3.0681687871503387,-8.238164837299462e-07,0.006395797245695362,5.060219886945359e-08,0.8045132825732644,0.00040468847142325276,9.790737744805027,-0.07317853292420354,-0.9973056726962751,0.005128111435160552
1701864694.679407,-4.1077344106034985,-3.9230076280695414,0.06570008849627013,0.0349220055033614,0.001283211933950715,0.9987158203822318,-0.036681289740157025,1.1625537325972503e-06,-0.06990537973929015,-3.0681687868046743,-6.235068857747995e-07,0.005112942824852402,3.690715572821902e-08,0.794517750373752,0.0003732187538020599,9.79007041654683,-0.07317874408259972,-0.9973056727002626,0.005125096523032033
1701864694.6903076,-4.107736567257078,-3.923007786950445,0.06570185832625691,0.0349055850578691,0.0012826069683369442,0.9987163944202702,-0.03668131087226895,1.1588079749603102e-06,-0.06987249649271622,-3.0681687865574645,-4.634845649058143e-07,0.004087675971258751,2.5910832960999585e-08,0.7853856166586376,0.00034427815922610577,9.789519307103511,-0.07317891278066481,-0.9973056727041135,0.0051226864471238176
1701864694.7000775,-4.107738291574727,-3.9230079139621505,0.06570327597374545,0.03489245611232291,0.0012821234099099548,0.9987168531973397,-0.036681327751525376,1.156096144984373e-06,-0.06984620476022187,-3.0681687863893057,-3.3564512685713087e-07,0.0032682929562578397,1.7069723896947144e-08,0.7770354808505096,0.00031758153266291784,9.78906210143216,-0.07317904757658562,-0.9973056727078939,0.005120759752135491
1701864694.712864,-4.107739670390113,-3.9230080155055136,0.06570441251464233,0.03488195763798544,0.0012817368764397184,0.9987172199312322,-0.03668134123437084,1.1542103242561405e-06,-0.06982518076952655,-3.0681687862847222,-2.335168844246503e-07,0.00261346644672778,9.950047040644912e-09,0.7693944759464014,0.0002931296352940644,9.788680958692531,-0.07317915529902541,-0.9973056727116546,0.00511921936192606
1701864694.7218642,-4.107740773103075,-3.9230080966962664,0.06570532472183618,0.0348735612981743,0.0012814278801272657,0.9987175131537945,-0.03668135200440005,1.1529844283627695e-06,-0.0698083664784578,-3.068168786231366,-1.5192691895639144e-07,0.0020901638594651183,4.2052598846706264e-09,0.7623980051574861,0.0002705346043791552,9.78836159644723,-0.07317924139845314,-0.9973056727154348,0.005117987686703987
1701864694.732694,-4.107741655180093,-3.923008161623057,0.0657060579447419,0.034866844814343115,0.0012811808451730512,0.9987177476606317,-0.036681360607387685,1.1522857640248443e-06,-0.0697949162370221,-3.0681687862193825,-8.674620941604456e-08,0.001671982983681495,-4.411693019116051e-10,0.7559877081028976,0.00024982768446648327,9.788092574588775,-0.07317931022645979,-0.9973056727192655,0.0051170027118278396
1701864694.7432935,-4.107742360951835,-3.9230082135536652,0.06570664840864926,0.03486147067723352,0.0012809833225302114,0.9987179352669131,-0.03668136747916829,1.1520083288934072e-06,-0.06978415415391781,-3.0681687862409044,-3.467418132774977e-08,0.0013378213250100687,-4.210207579765283e-09,0.7501115042387412,0.00023078225941420354,9.787864711425186,-0.07317936525805087,-0.9973056727231713,0.005116214871529152
1701864694.7553685,-4.10774292584896,-3.923008255099815,0.06570712505095491,0.034857169130751,0.0012808253622518992,0.998718085409379,-0.036681372967842546,1.1520674425847896e-06,-0.0697755400198406,-3.06816878628965,6.92586464503472e-09,0.0010708124210905357,-7.27833348520039e-09,0.7447225233090892,0.0002131837139136372,9.787670627439141,-0.07317940926870418,-0.997305672727171,0.0051155845500404735
1701864694.7645273,-4.107743378189004,-3.9230082883488957,0.0657075109876653,0.03485372457124474,0.0012806990118106774,0.9987182056261674,-0.03668137735147618,1.1523954400772934e-06,-0.06976864207061165,-3.0681687863606006,4.0158087100625535e-08,0.0008574755916462995,-9.786373439564187e-09,0.7397781337383578,0.0001970994248754396,9.787504382179575,-0.07317944447549263,-0.9973056727312796,0.005115080084250021
1701864694.7763073,-4.107743740604462,-3.9230083149692287,0.0657078246846895,0.03485096467691058,0.0012805979151452966,0.9987183019394624,-0.0366813808522149,1.1529382760387782e-06,-0.06976311521772652,-3.0681687864497498,6.670675073005805e-08,0.0006870362900977221,-1.184701036061903e-08,0.7352403011584637,0.00018219937660856228,9.787361179262856,-0.07317947264962546,-0.997305672735509,0.005114676167323947
