timestep,x,y,z,qx,qy,qz,qw,roll,yaw,pitch,roll_a,pitch_a,yaw_a,acc_x,acc_y,acc_z,c_x,c_y,c_z,x_next,x_artis,y_next,y_artis,z_next,z_artis
1701864891.3651097,-4.108913258505274,-3.9230949746404975,0.0667643697685596,0.0261475464878036,0.0009610397882624,0.9989839690380315,-0.0366934847107049,1.2391863565479509e-06,-0.0523363764634396,-3.0681640875751865,-5.178532533728084e-06,-0.9905558223450472,3.709972523040894e-07,-1.2177578187153322,0.0017777404610994,9.969352432342932,-0.0732621483231922,-0.9973053291646212,0.0038390158787091,-4.10814056923838,0.0007726892668946661,-3.923038138306652,5.6836333845566855e-05,0.0660825361733282,-0.0006818335952313986
1701864891.3789363,-4.10814056923838,-3.923038138306652,0.0660825361733282,0.0319014156272451,0.0011723647914951,0.9988167821141744,-0.0366873412617918,1.2014620676860378e-06,-0.0638567495964759,-3.068164098590906,-4.768971123300694e-06,-1.4320992655324571,3.805624668498301e-07,-1.1257770842674149,0.0012021606558866,9.888563998182285,-0.0732130640938945,-0.9973053291038732,0.0046827115007123,-4.107138540764436,0.0010020284739438168,-3.922964431535467,7.370677118512248e-05,0.065180300970314,-0.00090223520301419
1701864891.3934305,-4.107138540764436,-3.922964431535467,0.065180300970314,0.039421328310846,0.0014485599207809,0.9985482579213892,-0.0366774747020968,1.1680624289537273e-06,-0.0789163433487357,-3.068164113232979,-4.28169476942832e-06,-1.8720749733742903,4.024099734168247e-07,-0.9349439951118206,0.0010963325735055,9.83195070575476,-0.0731342486250391,-0.997305329047266,0.0057846635144693,-4.107609201860347,-0.00047066109591131777,-3.922998436033928,-3.40044984610266e-05,0.0655954211001413,0.00041512012982729274
1701864891.405414,-4.107609201860347,-3.922998436033928,0.0655954211001413,0.0358849332803258,0.0013187269911286,0.9986816799858812,-0.0366801660733367,1.4500890655383597e-06,-0.0718337553101133,-3.068168537751915,-6.359398791152564e-06,0.8804314948884969,-0.0005496008387176,15.094195606347784,-0.0118218802804965,11.255201733698788,-0.0731689748923789,-0.9973056527519106,0.005266507598392,-4.107830552330189,-0.00022135046984139706,-3.923014721087149,-1.6285053221043455e-05,0.0657965987474887,0.00020117764734739474
1701864891.415529,-4.107830552330189,-3.923014721087149,0.0657965987474887,0.0341926403313879,0.0012565432314324,0.9987410523837674,-0.036682349020212,1.3931474948831269e-06,-0.0684448010300572,-3.0681685287774174,-7.000152707495897e-06,0.4212771450131105,5.139720676472014e-07,-3.553643572903391,0.013622445583066,6.91682958387515,-0.0731864066671639,-0.9973056527389338,0.0050184553517702,-4.107815097365274,1.5454964914951574e-05,-3.9230135887919895,1.1322951594117114e-06,0.0657816245845235,-1.4974162965197824e-05
1701864891.4273567,-4.107815097365274,-3.9230135887919895,0.0657816245845235,0.0343103981362196,0.0012608337653722,0.9987370138879688,-0.0366822023342857,1.323887647824869e-06,-0.0686806114544892,-3.06816852327816,-8.562773311955763e-06,-0.0293133042048619,7.218224635828322e-07,-0.8968017264257149,0.0009012181542742,10.06740203933951,-0.0731852270274106,-0.9973056526602452,0.0050356446328793,-4.107562610219938,0.0002524871453353228,-3.922995020551159,1.8568240830685312e-05,0.0655515861591167,-0.00023003842540679498
1701864891.4376292,-4.107562610219938,-3.922995020551159,0.0655515861591167,0.0362269917350846,0.0013312005164472,0.9986693303415878,-0.0366797166032639,1.2700141795943516e-06,-0.0725187729277705,-3.068168523487297,-6.698778527901046e-06,-0.4771177216868902,5.928654209521577e-07,-0.8973645392664125,0.0008001217422298,10.000695434162214,-0.0731653652543875,-0.9973056525901788,0.0053164498370848,-4.107678651839816,-0.00011604161987754935,-3.9230035182733256,-8.497722166822541e-06,0.06565369750148,0.00010211134236329245
1701864891.4492457,-4.107678651839816,-3.9230035182733256,0.06565369750148,0.0353464049547898,0.0012988630252682,0.9987008901496366,-0.0366807391683568,1.2900254506771848e-06,-0.0707552810622262,-3.0681687962254607,6.088882211415594e-08,0.219217563391369,-3.409740445080927e-05,4.707738224061902,-5.3511670974175536e-05,10.54305142082148,-0.0731743534406253,-0.9973056726578092,0.0051874158404071,-4.107693579942037,-1.4928102221034578e-05,-3.923004618903733,-1.100630407258052e-06,0.0656666223709075,1.2924869427499708e-05
1701864891.4581575,-4.107693579942037,-3.923004618903733,0.0656666223709075,0.0352328327371442,0.0012946721862304,0.9987049032772144,-0.03668088727521,1.2508988211089073e-06,-0.0705278401818683,-3.068168793276551,-4.83790931755212e-06,0.0282728964538983,3.2974143068241065e-07,-0.571340977835769,0.0014291849183465,9.026359635633446,-0.0731755340194483,-0.9973056726652672,0.0051707340530849,-4.107703960246831,-1.038030479438845e-05,-3.9230053840170185,-7.651132856167919e-07,0.0656751586775904,8.536306682904726e-06
1701864891.4703338,-4.107703960246831,-3.9230053840170185,0.0656751586775904,0.0351538207213274,0.0012917582699474,0.9987076875762024,-0.0366809899738118,1.226975197732917e-06,-0.0703696105730048,-3.068168791464208,-2.9580579424062427e-06,0.01966932826826,2.0036226647475889e-07,0.9983282943028708,0.000616143913838,9.977681479622902,-0.073176352872229,-0.9973056726702264,0.0051591317202136,-4.10771222784664,-8.26759980832037e-06,-3.923005993362384,-6.093453657207704e-07,0.065681927826513,6.7691489226001655e-06
